link,value
"('INITIAL', 'stor_Shasta.2010-10-31 00:00:00')",2807.466437
"('INITIAL', 'stor_Keswick.2010-10-31 00:00:00')",14.67843361
"('INITIAL', 'stor_Folsom.2010-10-31 00:00:00')",601.3224045
"('INITIAL', 'stor_Nimbus.2010-10-31 00:00:00')",5.42732028
"('INITIAL', 'stor_New Melones.2010-10-31 00:00:00')",1492.513045
"('INITIAL', 'stor_Pine Flat.2010-10-31 00:00:00')",616.7409277
"('stor_Shasta.2010-10-31 00:00:00', 'stor_Shasta.2010-11-30 00:00:00')",3092.25898211
"('stor_Keswick.2010-10-31 00:00:00', 'stor_Keswick.2010-11-30 00:00:00')",29.35686722
"('stor_Folsom.2010-10-31 00:00:00', 'stor_Folsom.2010-11-30 00:00:00')",709.187125873
"('stor_Nimbus.2010-10-31 00:00:00', 'stor_Nimbus.2010-11-30 00:00:00')",10.85464056
"('stor_New Melones.2010-10-31 00:00:00', 'stor_New Melones.2010-11-30 00:00:00')",1566.09867955
"('stor_Pine Flat.2010-10-31 00:00:00', 'stor_Pine Flat.2010-11-30 00:00:00')",701.573297908
"('stor_Shasta.2010-11-30 00:00:00', 'stor_Shasta.2010-12-31 00:00:00')",3435.78763706
"('stor_Keswick.2010-11-30 00:00:00', 'stor_Keswick.2010-12-31 00:00:00')",29.35686722
"('stor_Folsom.2010-11-30 00:00:00', 'stor_Folsom.2010-12-31 00:00:00')",861.340787871
"('stor_Nimbus.2010-11-30 00:00:00', 'stor_Nimbus.2010-12-31 00:00:00')",10.85464056
"('stor_New Melones.2010-11-30 00:00:00', 'stor_New Melones.2010-12-31 00:00:00')",1599.62100662
"('stor_Pine Flat.2010-11-30 00:00:00', 'stor_Pine Flat.2010-12-31 00:00:00')",920.347966524
"('stor_Shasta.2010-12-31 00:00:00', 'stor_Shasta.2011-01-31 00:00:00')",4430.50443675
"('stor_Keswick.2010-12-31 00:00:00', 'stor_Keswick.2011-01-31 00:00:00')",29.35686722
"('stor_Folsom.2010-12-31 00:00:00', 'stor_Folsom.2011-01-31 00:00:00')",1202.644809
"('stor_Nimbus.2010-12-31 00:00:00', 'stor_Nimbus.2011-01-31 00:00:00')",10.85464056
"('stor_New Melones.2010-12-31 00:00:00', 'stor_New Melones.2011-01-31 00:00:00')",1813.02337052
"('stor_Pine Flat.2010-12-31 00:00:00', 'stor_Pine Flat.2011-01-31 00:00:00')",1233.481855
"('stor_Shasta.2011-01-31 00:00:00', 'stor_Shasta.2011-02-28 00:00:00')",3199.37100126
"('stor_Keswick.2011-01-31 00:00:00', 'stor_Keswick.2011-02-28 00:00:00')",29.35686722
"('stor_Folsom.2011-01-31 00:00:00', 'stor_Folsom.2011-02-28 00:00:00')",1202.644809
"('stor_Nimbus.2011-01-31 00:00:00', 'stor_Nimbus.2011-02-28 00:00:00')",10.85464056
"('stor_New Melones.2011-01-31 00:00:00', 'stor_New Melones.2011-02-28 00:00:00')",1385.05710856
"('stor_Pine Flat.2011-01-31 00:00:00', 'stor_Pine Flat.2011-02-28 00:00:00')",839.095117646
"('stor_Shasta.2011-02-28 00:00:00', 'stor_Shasta.2011-03-31 00:00:00')",3850.0191953
"('stor_Keswick.2011-02-28 00:00:00', 'stor_Keswick.2011-03-31 00:00:00')",29.35686722
"('stor_Folsom.2011-02-28 00:00:00', 'stor_Folsom.2011-03-31 00:00:00')",1202.644809
"('stor_Nimbus.2011-02-28 00:00:00', 'stor_Nimbus.2011-03-31 00:00:00')",10.85464056
"('stor_New Melones.2011-02-28 00:00:00', 'stor_New Melones.2011-03-31 00:00:00')",1527.52540414
"('stor_Pine Flat.2011-02-28 00:00:00', 'stor_Pine Flat.2011-03-31 00:00:00')",989.791623565
"('stor_Shasta.2011-03-31 00:00:00', 'stor_Shasta.2011-04-30 00:00:00')",5614.932874
"('stor_Keswick.2011-03-31 00:00:00', 'stor_Keswick.2011-04-30 00:00:00')",29.35686722
"('stor_Folsom.2011-03-31 00:00:00', 'stor_Folsom.2011-04-30 00:00:00')",1202.644809
"('stor_Nimbus.2011-03-31 00:00:00', 'stor_Nimbus.2011-04-30 00:00:00')",10.85464056
"('stor_New Melones.2011-03-31 00:00:00', 'stor_New Melones.2011-04-30 00:00:00')",1857.01200297
"('stor_Pine Flat.2011-03-31 00:00:00', 'stor_Pine Flat.2011-04-30 00:00:00')",1025.67864503
"('stor_Shasta.2011-04-30 00:00:00', 'stor_Shasta.2011-05-31 00:00:00')",5614.932874
"('stor_Keswick.2011-04-30 00:00:00', 'stor_Keswick.2011-05-31 00:00:00')",29.35686722
"('stor_Folsom.2011-04-30 00:00:00', 'stor_Folsom.2011-05-31 00:00:00')",1202.644809
"('stor_Nimbus.2011-04-30 00:00:00', 'stor_Nimbus.2011-05-31 00:00:00')",10.85464056
"('stor_New Melones.2011-04-30 00:00:00', 'stor_New Melones.2011-05-31 00:00:00')",2132.17932511
"('stor_Pine Flat.2011-04-30 00:00:00', 'stor_Pine Flat.2011-05-31 00:00:00')",856.300630255
"('stor_Shasta.2011-05-31 00:00:00', 'stor_Shasta.2011-06-30 00:00:00')",5614.932874
"('stor_Keswick.2011-05-31 00:00:00', 'stor_Keswick.2011-06-30 00:00:00')",29.35686722
"('stor_Folsom.2011-05-31 00:00:00', 'stor_Folsom.2011-06-30 00:00:00')",1202.644809
"('stor_Nimbus.2011-05-31 00:00:00', 'stor_Nimbus.2011-06-30 00:00:00')",10.85464056
"('stor_New Melones.2011-05-31 00:00:00', 'stor_New Melones.2011-06-30 00:00:00')",2493.46080318
"('stor_Pine Flat.2011-05-31 00:00:00', 'stor_Pine Flat.2011-06-30 00:00:00')",849.533252611
"('stor_Shasta.2011-06-30 00:00:00', 'stor_Shasta.2011-07-31 00:00:00')",5614.932874
"('stor_Keswick.2011-06-30 00:00:00', 'stor_Keswick.2011-07-31 00:00:00')",29.35686722
"('stor_Folsom.2011-06-30 00:00:00', 'stor_Folsom.2011-07-31 00:00:00')",1202.644809
"('stor_Nimbus.2011-06-30 00:00:00', 'stor_Nimbus.2011-07-31 00:00:00')",10.85464056
"('stor_New Melones.2011-06-30 00:00:00', 'stor_New Melones.2011-07-31 00:00:00')",2985.02609
"('stor_Pine Flat.2011-06-30 00:00:00', 'stor_Pine Flat.2011-07-31 00:00:00')",1233.481855
"('stor_Shasta.2011-07-31 00:00:00', 'stor_Shasta.2011-08-31 00:00:00')",5614.932874
"('stor_Keswick.2011-07-31 00:00:00', 'stor_Keswick.2011-08-31 00:00:00')",29.35686722
"('stor_Folsom.2011-07-31 00:00:00', 'stor_Folsom.2011-08-31 00:00:00')",1202.644809
"('stor_Nimbus.2011-07-31 00:00:00', 'stor_Nimbus.2011-08-31 00:00:00')",10.85464056
"('stor_New Melones.2011-07-31 00:00:00', 'stor_New Melones.2011-08-31 00:00:00')",2985.02609
"('stor_Pine Flat.2011-07-31 00:00:00', 'stor_Pine Flat.2011-08-31 00:00:00')",1233.481855
"('stor_Shasta.2011-08-31 00:00:00', 'stor_Shasta.2011-09-30 00:00:00')",5614.932874
"('stor_Keswick.2011-08-31 00:00:00', 'stor_Keswick.2011-09-30 00:00:00')",29.35686722
"('stor_Folsom.2011-08-31 00:00:00', 'stor_Folsom.2011-09-30 00:00:00')",1202.644809
"('stor_Nimbus.2011-08-31 00:00:00', 'stor_Nimbus.2011-09-30 00:00:00')",10.85464056
"('stor_New Melones.2011-08-31 00:00:00', 'stor_New Melones.2011-09-30 00:00:00')",2985.02609
"('stor_Pine Flat.2011-08-31 00:00:00', 'stor_Pine Flat.2011-09-30 00:00:00')",1233.481855
"('stor_Shasta.2011-09-30 00:00:00', 'stor_Shasta.2011-10-31 00:00:00')",5315.49952023
"('stor_Keswick.2011-09-30 00:00:00', 'stor_Keswick.2011-10-31 00:00:00')",29.35686722
"('stor_Folsom.2011-09-30 00:00:00', 'stor_Folsom.2011-10-31 00:00:00')",1202.644809
"('stor_Nimbus.2011-09-30 00:00:00', 'stor_Nimbus.2011-10-31 00:00:00')",10.85464056
"('stor_New Melones.2011-09-30 00:00:00', 'stor_New Melones.2011-10-31 00:00:00')",2503.48698126
"('stor_Pine Flat.2011-09-30 00:00:00', 'stor_Pine Flat.2011-10-31 00:00:00')",1166.66567648
"('stor_Shasta.2011-10-31 00:00:00', 'stor_Shasta.2011-11-30 00:00:00')",5614.932874
"('stor_Keswick.2011-10-31 00:00:00', 'stor_Keswick.2011-11-30 00:00:00')",29.35686722
"('stor_Folsom.2011-10-31 00:00:00', 'stor_Folsom.2011-11-30 00:00:00')",1202.644809
"('stor_Nimbus.2011-10-31 00:00:00', 'stor_Nimbus.2011-11-30 00:00:00')",10.85464056
"('stor_New Melones.2011-10-31 00:00:00', 'stor_New Melones.2011-11-30 00:00:00')",2578.08247897
"('stor_Pine Flat.2011-10-31 00:00:00', 'stor_Pine Flat.2011-11-30 00:00:00')",1233.481855
"('stor_Shasta.2011-11-30 00:00:00', 'stor_Shasta.2011-12-31 00:00:00')",5614.932874
"('stor_Keswick.2011-11-30 00:00:00', 'stor_Keswick.2011-12-31 00:00:00')",29.35686722
"('stor_Folsom.2011-11-30 00:00:00', 'stor_Folsom.2011-12-31 00:00:00')",1202.644809
"('stor_Nimbus.2011-11-30 00:00:00', 'stor_Nimbus.2011-12-31 00:00:00')",10.85464056
"('stor_New Melones.2011-11-30 00:00:00', 'stor_New Melones.2011-12-31 00:00:00')",2367.64308413
"('stor_Pine Flat.2011-11-30 00:00:00', 'stor_Pine Flat.2011-12-31 00:00:00')",1233.481855
"('stor_Shasta.2011-12-31 00:00:00', 'stor_Shasta.2012-01-31 00:00:00')",5614.932874
"('stor_Keswick.2011-12-31 00:00:00', 'stor_Keswick.2012-01-31 00:00:00')",29.35686722
"('stor_Folsom.2011-12-31 00:00:00', 'stor_Folsom.2012-01-31 00:00:00')",1202.644809
"('stor_Nimbus.2011-12-31 00:00:00', 'stor_Nimbus.2012-01-31 00:00:00')",10.85464056
"('stor_New Melones.2011-12-31 00:00:00', 'stor_New Melones.2012-01-31 00:00:00')",2460.38285352
"('stor_Pine Flat.2011-12-31 00:00:00', 'stor_Pine Flat.2012-01-31 00:00:00')",1233.481855
"('stor_Shasta.2012-01-31 00:00:00', 'stor_Shasta.2012-03-31 00:00:00')",3179.20761795
"('stor_Keswick.2012-01-31 00:00:00', 'stor_Keswick.2012-03-31 00:00:00')",29.35686722
"('stor_Folsom.2012-01-31 00:00:00', 'stor_Folsom.2012-03-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-01-31 00:00:00', 'stor_Nimbus.2012-03-31 00:00:00')",10.85464056
"('stor_New Melones.2012-01-31 00:00:00', 'stor_New Melones.2012-03-31 00:00:00')",2546.63197434
"('stor_Pine Flat.2012-01-31 00:00:00', 'stor_Pine Flat.2012-03-31 00:00:00')",717.881065874
"('stor_Shasta.2012-03-31 00:00:00', 'stor_Shasta.2012-04-30 00:00:00')",4169.69199223
"('stor_Keswick.2012-03-31 00:00:00', 'stor_Keswick.2012-04-30 00:00:00')",29.35686722
"('stor_Folsom.2012-03-31 00:00:00', 'stor_Folsom.2012-04-30 00:00:00')",1202.644809
"('stor_Nimbus.2012-03-31 00:00:00', 'stor_Nimbus.2012-04-30 00:00:00')",10.85464056
"('stor_New Melones.2012-03-31 00:00:00', 'stor_New Melones.2012-04-30 00:00:00')",2646.19512337
"('stor_Pine Flat.2012-03-31 00:00:00', 'stor_Pine Flat.2012-04-30 00:00:00')",794.298086399
"('stor_Shasta.2012-04-30 00:00:00', 'stor_Shasta.2012-05-31 00:00:00')",5114.485615
"('stor_Keswick.2012-04-30 00:00:00', 'stor_Keswick.2012-05-31 00:00:00')",29.35686722
"('stor_Folsom.2012-04-30 00:00:00', 'stor_Folsom.2012-05-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-04-30 00:00:00', 'stor_Nimbus.2012-05-31 00:00:00')",10.85464056
"('stor_New Melones.2012-04-30 00:00:00', 'stor_New Melones.2012-05-31 00:00:00')",2772.1866323
"('stor_Pine Flat.2012-04-30 00:00:00', 'stor_Pine Flat.2012-05-31 00:00:00')",999.406572743
"('stor_Shasta.2012-05-31 00:00:00', 'stor_Shasta.2012-06-30 00:00:00')",5614.932874
"('stor_Keswick.2012-05-31 00:00:00', 'stor_Keswick.2012-06-30 00:00:00')",29.35686722
"('stor_Folsom.2012-05-31 00:00:00', 'stor_Folsom.2012-06-30 00:00:00')",1202.644809
"('stor_Nimbus.2012-05-31 00:00:00', 'stor_Nimbus.2012-06-30 00:00:00')",10.85464056
"('stor_New Melones.2012-05-31 00:00:00', 'stor_New Melones.2012-06-30 00:00:00')",2857.95785276
"('stor_Pine Flat.2012-05-31 00:00:00', 'stor_Pine Flat.2012-06-30 00:00:00')",1233.481855
"('stor_Shasta.2012-06-30 00:00:00', 'stor_Shasta.2012-07-31 00:00:00')",5614.932874
"('stor_Keswick.2012-06-30 00:00:00', 'stor_Keswick.2012-07-31 00:00:00')",29.35686722
"('stor_Folsom.2012-06-30 00:00:00', 'stor_Folsom.2012-07-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-06-30 00:00:00', 'stor_Nimbus.2012-07-31 00:00:00')",10.85464056
"('stor_New Melones.2012-06-30 00:00:00', 'stor_New Melones.2012-07-31 00:00:00')",2925.61869178
"('stor_Pine Flat.2012-06-30 00:00:00', 'stor_Pine Flat.2012-07-31 00:00:00')",1233.481855
"('stor_Shasta.2012-07-31 00:00:00', 'stor_Shasta.2012-08-31 00:00:00')",5614.932874
"('stor_Keswick.2012-07-31 00:00:00', 'stor_Keswick.2012-08-31 00:00:00')",29.35686722
"('stor_Folsom.2012-07-31 00:00:00', 'stor_Folsom.2012-08-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-07-31 00:00:00', 'stor_Nimbus.2012-08-31 00:00:00')",10.85464056
"('stor_New Melones.2012-07-31 00:00:00', 'stor_New Melones.2012-08-31 00:00:00')",2985.02609
"('stor_Pine Flat.2012-07-31 00:00:00', 'stor_Pine Flat.2012-08-31 00:00:00')",1233.481855
"('stor_Shasta.2012-08-31 00:00:00', 'stor_Shasta.2012-09-30 00:00:00')",5614.932874
"('stor_Keswick.2012-08-31 00:00:00', 'stor_Keswick.2012-09-30 00:00:00')",29.35686722
"('stor_Folsom.2012-08-31 00:00:00', 'stor_Folsom.2012-09-30 00:00:00')",1202.644809
"('stor_Nimbus.2012-08-31 00:00:00', 'stor_Nimbus.2012-09-30 00:00:00')",10.85464056
"('stor_New Melones.2012-08-31 00:00:00', 'stor_New Melones.2012-09-30 00:00:00')",2985.02609
"('stor_Pine Flat.2012-08-31 00:00:00', 'stor_Pine Flat.2012-09-30 00:00:00')",1233.481855
"('stor_Shasta.2012-09-30 00:00:00', 'stor_Shasta.2012-10-31 00:00:00')",5614.932874
"('stor_Keswick.2012-09-30 00:00:00', 'stor_Keswick.2012-10-31 00:00:00')",29.35686722
"('stor_Folsom.2012-09-30 00:00:00', 'stor_Folsom.2012-10-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-09-30 00:00:00', 'stor_Nimbus.2012-10-31 00:00:00')",10.85464056
"('stor_New Melones.2012-09-30 00:00:00', 'stor_New Melones.2012-10-31 00:00:00')",2985.02609
"('stor_Pine Flat.2012-09-30 00:00:00', 'stor_Pine Flat.2012-10-31 00:00:00')",1233.481855
"('stor_Shasta.2012-10-31 00:00:00', 'stor_Shasta.2012-11-30 00:00:00')",5614.932874
"('stor_Keswick.2012-10-31 00:00:00', 'stor_Keswick.2012-11-30 00:00:00')",29.35686722
"('stor_Folsom.2012-10-31 00:00:00', 'stor_Folsom.2012-11-30 00:00:00')",1202.644809
"('stor_Nimbus.2012-10-31 00:00:00', 'stor_Nimbus.2012-11-30 00:00:00')",10.85464056
"('stor_New Melones.2012-10-31 00:00:00', 'stor_New Melones.2012-11-30 00:00:00')",2985.02609
"('stor_Pine Flat.2012-10-31 00:00:00', 'stor_Pine Flat.2012-11-30 00:00:00')",1233.481855
"('stor_Shasta.2012-11-30 00:00:00', 'stor_Shasta.2012-12-31 00:00:00')",5614.932874
"('stor_Keswick.2012-11-30 00:00:00', 'stor_Keswick.2012-12-31 00:00:00')",29.35686722
"('stor_Folsom.2012-11-30 00:00:00', 'stor_Folsom.2012-12-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-11-30 00:00:00', 'stor_Nimbus.2012-12-31 00:00:00')",10.85464056
"('stor_New Melones.2012-11-30 00:00:00', 'stor_New Melones.2012-12-31 00:00:00')",2866.74204773
"('stor_Pine Flat.2012-11-30 00:00:00', 'stor_Pine Flat.2012-12-31 00:00:00')",1233.481855
"('stor_Shasta.2012-12-31 00:00:00', 'stor_Shasta.2013-01-31 00:00:00')",5614.932874
"('stor_Keswick.2012-12-31 00:00:00', 'stor_Keswick.2013-01-31 00:00:00')",29.35686722
"('stor_Folsom.2012-12-31 00:00:00', 'stor_Folsom.2013-01-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-12-31 00:00:00', 'stor_Nimbus.2013-01-31 00:00:00')",10.85464056
"('stor_New Melones.2012-12-31 00:00:00', 'stor_New Melones.2013-01-31 00:00:00')",2985.02609
"('stor_Pine Flat.2012-12-31 00:00:00', 'stor_Pine Flat.2013-01-31 00:00:00')",1233.481855
"('stor_Shasta.2013-01-31 00:00:00', 'stor_Shasta.2013-02-28 00:00:00')",5614.932874
"('stor_Keswick.2013-01-31 00:00:00', 'stor_Keswick.2013-02-28 00:00:00')",29.35686722
"('stor_Folsom.2013-01-31 00:00:00', 'stor_Folsom.2013-02-28 00:00:00')",1202.644809
"('stor_Nimbus.2013-01-31 00:00:00', 'stor_Nimbus.2013-02-28 00:00:00')",10.85464056
"('stor_New Melones.2013-01-31 00:00:00', 'stor_New Melones.2013-02-28 00:00:00')",2985.02609
"('stor_Pine Flat.2013-01-31 00:00:00', 'stor_Pine Flat.2013-02-28 00:00:00')",1233.481855
